Title,Category,Description,Effort,Energy,Cost,Risk,Starter Steps
Idea #1,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #2,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #3,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #4,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #5,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #6,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #7,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #8,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #9,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #10,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #11,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #12,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #13,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #14,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #15,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #16,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #17,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #18,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #19,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #20,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #21,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #22,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #23,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #24,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #25,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #26,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #27,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #28,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #29,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #30,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #31,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #32,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #33,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #34,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #35,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #36,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #37,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #38,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #39,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #40,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #41,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #42,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #43,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #44,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #45,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #46,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #47,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #48,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #49,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
Idea #50,Blend,See description,low,low,$0,low,1) Draft  2) Export  3) Upload  4) Preview  5) Post
