ID,Category,Title,Learning_Objective,Suggested_Activity,Code_Template,Source,Difficulty,Estimated_Time_Min
1,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 1,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Self_Advocacy_Scripts_Medical.docx,Medium,10
2,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 2,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Self_Advocacy_Scripts_Medical.docx,Medium,15
3,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 3,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Self_Advocacy_Scripts_Medical.docx,Hard,20
4,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 4,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Self_Advocacy_Scripts_Medical.docx,Easy,25
5,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 5,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Self_Advocacy_Scripts_Medical.docx,Medium,5
6,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 6,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Self_Advocacy_Scripts_Medical.docx,Medium,10
7,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 7,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Self_Advocacy_Scripts_Medical.docx,Hard,15
8,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 8,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Self_Advocacy_Scripts_Medical.docx,Easy,20
9,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 9,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Self_Advocacy_Scripts_Medical.docx,Medium,25
10,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 10,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Self_Advocacy_Scripts_Medical.docx,Medium,5
11,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 11,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Self_Advocacy_Scripts_Medical.docx,Hard,10
12,Self-Advocacy: Medical,Self-Advocacy: Medical — Lesson 12,"Learn/apply: Scripts for doctors, therapists, and medical staff; documenting concerns; requesting accommodations.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Self_Advocacy_Scripts_Medical.docx,Easy,15
13,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 1,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Self_Advocacy_Scripts_Systems.docx,Medium,20
14,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 2,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Self_Advocacy_Scripts_Systems.docx,Medium,25
15,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 3,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Self_Advocacy_Scripts_Systems.docx,Hard,5
16,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 4,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Self_Advocacy_Scripts_Systems.docx,Easy,10
17,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 5,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Self_Advocacy_Scripts_Systems.docx,Medium,15
18,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 6,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Self_Advocacy_Scripts_Systems.docx,Medium,20
19,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 7,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Self_Advocacy_Scripts_Systems.docx,Hard,25
20,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 8,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Self_Advocacy_Scripts_Systems.docx,Easy,5
21,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 9,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Self_Advocacy_Scripts_Systems.docx,Medium,10
22,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 10,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Self_Advocacy_Scripts_Systems.docx,Medium,15
23,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 11,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Self_Advocacy_Scripts_Systems.docx,Hard,20
24,Self-Advocacy: Systems,Self-Advocacy: Systems — Lesson 12,"Learn/apply: Scripts for insurance, disability hearings, grants, lawyers, and trusts.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Self_Advocacy_Scripts_Systems.docx,Easy,25
25,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 1,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Self_Advocacy_Scripts_Family.docx,Medium,5
26,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 2,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Self_Advocacy_Scripts_Family.docx,Medium,10
27,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 3,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Self_Advocacy_Scripts_Family.docx,Hard,15
28,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 4,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Self_Advocacy_Scripts_Family.docx,Easy,20
29,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 5,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Self_Advocacy_Scripts_Family.docx,Medium,25
30,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 6,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Self_Advocacy_Scripts_Family.docx,Medium,5
31,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 7,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Self_Advocacy_Scripts_Family.docx,Hard,10
32,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 8,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Self_Advocacy_Scripts_Family.docx,Easy,15
33,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 9,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Self_Advocacy_Scripts_Family.docx,Medium,20
34,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 10,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Self_Advocacy_Scripts_Family.docx,Medium,25
35,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 11,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Self_Advocacy_Scripts_Family.docx,Hard,5
36,Self-Advocacy: Family,Self-Advocacy: Family — Lesson 12,Learn/apply: Scripts for mom/relatives—gratitude + boundaries without guilt.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Self_Advocacy_Scripts_Family.docx,Easy,10
37,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 1,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Self_Advocacy_Scripts_Daily.docx,Medium,15
